ITEM CODE,PRODUCT NAME,CATEGORY,U.O.M,QUANTITY,COST_KES,TOTAL_COST_OF_PRODUCTION,CURRENCY
PMRESNLOC,Resin LOC,LOCAL,KG,210.0,343.0,72030.0,KES
PMSANDDISC,Sanding Discs,LOCAL,PCS,14.0,65.0,910.0,KES
PMSCREW,Wood screws m/s 1 1/2 X 10G,LOCAL,PCS,70.0,3.2,224.0,KES
PMSEMIMMB,Semi Matt Black,LOCAL,LTR,3.75,454.0,1702.5,KES
PMSFHSPRT,White Spirit,LOCAL,LTR,2.0,232.0,464.0,KES
PMSILNTC,Silicone Tubes(Clear),LOCAL,PCS,0.0,370.0,0.0,KES
"PMSN&B3/8X3""","M/S Nuts & Bolts 3/8 X 3""",LOCAL,PCS,22.0,2.5,55.0,KES
PMSPRING,Spring Washers 1/2,LOCAL,PCS,5.0,4.0,20.0,KES
PMSTUBES,Silicone Tubes(White),LOCAL,PCS,4.0,370.0,1480.0,KES
PMSURGLOVES,Surgical Gloves,LOCAL,PCS,6.0,10.8,64.80000000000001,KES
PMT(ROD)5/16,Threaded rods 5/16,LOCAL,PCS,1.0,112.0,112.0,KES
PMTHINLOC,Hi-Gloss Thinner,LOCAL,LTR,0.5,602.0,301.0,KES
PMUBOLT,U bolt 16 1/4'' x 2 7/8'' x 3''(thread) 16mm dia,LOCAL,PCS,6.0,521.0,3126.0,KES
PMUBOLT14,U bolt + nut 14 1/2'' x 3'' x 3''(thread) 16mm ,LOCAL,PCS,6.0,432.0,2592.0,KES
PMWASHER5/16F,Penny Washers 5/16 Flat,LOCAL,PCS,14.0,2.2,30.800000000000004,KES
PMWCIMP,White Coat,LOCAL,KG,56.0,930.0,52080.0,KES
PMWELD,M/S Welding Rods 3.2Mm,LOCAL,KG,2.9000000000000004,654.0,1896.6000000000001,KES
PMWS5/8,Washer Spring 5/8,LOCAL,PCS,12.0,4.0,48.0,KES
"SF(OR-PLY)1/2""","Ordinary Plywood 4' X 8' X 1/2"" 12Mm",LOCAL,SHEETS,4.0,1223.0,4892.0,KES
SF185MMX3CTNDISC,"Cutting Disc 7""",LOCAL,PCS,1.0,115.0,115.0,KES
SF70MMHCB3MMA,Chassis Support Brackets s,LOCAL,PCS,20.0,69.0,1380.0,KES
SFALMPL05122,Aluminium Angle 2'' X 2'' X (6Mtr) (05122),LOCAL,MTRS,29.0,1245.87,36130.229999999996,KES
SFCATHDNOX,Catalyst,IMPORT,KG,4.2,1650.0,6930.0,KES
SFCATHDNOX,Catalyst ,IMPORT,KG,3.73,1650.0,6154.5,KES
SFCHANEL400,Channels 400MM X 135MM X 60MM,LOCAL,PCS,1.0,187.5,187.5,KES
SFCHASSSPBR3MM/95MM,Chassis Support Brackets b,LOCAL,PCS,4.0,98.0,392.0,KES
SFCHNS2X1,Chevrons 2X1,LOCAL,PAIRS,1.0,243.0,243.0,KES
SFCTDSC115MM,Cutting Disc 4.5,LOCAL,PCS,2.0,70.0,140.0,KES
SFP3/4,Penny Washers 3/8 Flat,LOCAL,PCS,4.0,4.0,16.0,KES
SFPC1KG,Plastic Container 1Kg,LOCAL,PCS,1.0,23.0,23.0,KES
SFPOLFOAMRF5237,Foam A,LOCAL,KG,5.05,8.8,44.440000000000005,KES
SFPOLFOAMRF5237/4-25B,Foam B,LOCAL,KG,6.67,9.3,62.031000000000006,KES
"SFPOLYS2""","Polystyrene 2""",LOCAL,SHEETS,4.0,649.0,2596.0,KES
SFRBRINS3MM,Rubber mud guard 3mm,LOCAL,MTRS,0.3,254.0,76.2,KES
SFREFLECTORWHITER,Reflectors(White Round Reflectors),LOCAL,PAIRS,1.0,140.0,140.0,KES
SFSURGLOVES,Surgical Gloves,LOCAL,PCS,4.0,10.8,43.2,KES
sf250mmx68mm,Channels 250mmx215mmx68mm,LOCAL,PCS,1.0,156.0,156.0,KES
sfcab4mm,C&B 4mm sheet,LOCAL,PCS,3.0,18.0,54.0,KES
sfcandb3mm,C&B 3mm sheet,LOCAL,PCS,106.0,15.0,1590.0,KES
sfcbnd2,C&B 2,LOCAL,PCS,11.0,10.0,110.0,KES
