Unnamed: 0,ITEM CODE,PRODUCT NAME,CATEGORY,QUANTITY,U.O.M,COST,PRODUCTION COST,CURRENCY
,PMF8UQW9,Reflectors Strip(Yellow),LOCAL,1.0,PCS,78.0,78.0,KES
,PMRED,Reflectors(Red Round Reflectors),LOCAL,1.0,PAIRS,150.0,150.0,KES
,SFREFLECTORWHITER,Reflectors(White Round Reflectors),LOCAL,1.0,PAIRS,140.0,140.0,KES
,PMREF,Refridgeration unit,IMPORT,1.0,PCS,168.0,168.0,EURO
,PMRESNLOC,Resin LOC,LOCAL,60.0,KG,343.0,20580.0,KES
,PMRESNLOC,Resin LOC,LOCAL,30.0,KG,343.0,10290.0,KES
,PMRESNLOC,Resin LOC,LOCAL,60.0,KG,343.0,20580.0,KES
,PMRESNLOC,Resin LOC,LOCAL,60.0,KG,343.0,20580.0,KES
,PMRESIMP,Resin ,IMPORT,15.0,KG,440.0,6600.0, USD
,PMRESIMP,Resin ,IMPORT,30.0,KG,440.0,13200.0, USD
,PMRESIMP,Resin ,IMPORT,20.0,KG,440.0,8800.0, USD
,PMRESIMP,Resin ,IMPORT,20.0,KG,440.0,8800.0, USD
,PMRESIMP,Resin ,IMPORT,30.0,KG,440.0,13200.0, USD
,PMRESIMP,Resin ,IMPORT,8.0,KG,440.0,3520.0, USD
,PMRESIMP,Resin ,IMPORT,4.0,KG,440.0,1760.0, USD
,PMRESIMP,Resin ,IMPORT,8.0,KG,440.0,3520.0, USD
,PMRESIMP,Resin ,IMPORT,10.0,KG,440.0,4400.0, USD
,PMRESIMP,Resin ,IMPORT,10.0,KG,440.0,4400.0, USD
,SFRBRINS3MM,Rubber mud guard 3mm,LOCAL,0.3,MTRS,254.0,76.2,KES
,PMSANDDISC,Sanding Discs,LOCAL,2.0,PCS,65.0,130.0,KES
,PMSANDDISC,Sanding Discs,LOCAL,2.0,PCS,65.0,130.0,KES
,PMSANDDISC,Sanding Discs,LOCAL,2.0,PCS,65.0,130.0,KES
,PMSANDDISC,Sanding Discs,LOCAL,1.0,PCS,65.0,65.0,KES
,PMSANDDISC,Sanding Discs,LOCAL,1.0,PCS,65.0,65.0,KES
,PMSANDDISC,Sanding Discs,LOCAL,1.0,PCS,65.0,65.0,KES
,PMSANDDISC,Sanding Discs,LOCAL,2.0,PCS,65.0,130.0,KES
,PMSANDDISC,Sanding Discs,LOCAL,2.0,PCS,65.0,130.0,KES
,PMSANDDISC,Sanding Discs,LOCAL,1.0,PCS,65.0,65.0,KES
,PMSEMIMMB,Semi Matt Black,LOCAL,0.75,LTR,454.0,340.5,KES
,PMSEMIMMB,Semi Matt Black,LOCAL,1.5,LTR,454.0,681.0,KES
,PMSEMIMMB,Semi Matt Black,LOCAL,1.0,LTR,454.0,454.0,KES
,PMSEMIMMB,Semi Matt Black,LOCAL,0.5,LTR,454.0,227.0,KES
,PMSILNTC,Silicone Tubes(Clear),LOCAL,1.0,PCS,370.0,370.0,KES
,PMSILNTC,Silicone Tubes(Clear),LOCAL,-1.0,PCS,370.0,-370.0,KES
,PMSTUBES,Silicone Tubes(White),LOCAL,1.0,PCS,370.0,370.0,KES
,PMSTUBES,Silicone Tubes(White),LOCAL,2.0,PCS,370.0,740.0,KES
,PMSTUBES,Silicone Tubes(White),LOCAL,1.0,PCS,370.0,370.0,KES
,PMFPLATE180X330,Sliding plate 180mmx330mm,LOCAL,1.0,PCS,310.0,310.0,KES
,PMSPRING,Spring Washers 1/2,LOCAL,5.0,PCS,4.0,20.0,KES
,PMF08602,Step 08602,IMPORT,1.0,PCS,54.0,54.0,USD
,PMSURGLOVES,Surgical Gloves,LOCAL,6.0,PCS,10.8,64.80000000000001,KES
,SFSURGLOVES,Surgical Gloves,LOCAL,2.0,PCS,10.8,21.6,KES
,SFSURGLOVES,Surgical Gloves,LOCAL,2.0,PCS,10.8,21.6,KES
,PMFT(ROD)3/8,Threaded Rods 3/8,LOCAL,1.0,PCS,121.0,121.0,KES
,PMT(ROD)5/16,Threaded rods 5/16,LOCAL,1.0,PCS,112.0,112.0,KES
,PMUBOLT14,U bolt + nut 14 1/2'' x 3'' x 3''(thread) 16mm ,LOCAL,6.0,PCS,432.0,2592.0,KES
,PMUBOLT,U bolt 16 1/4'' x 2 7/8'' x 3''(thread) 16mm dia,LOCAL,6.0,PCS,521.0,3126.0,KES
,PMFWS5/8,Washer Spring 5/8,LOCAL,12.0,PCS,3.0,36.0,KES
,PMWS5/8,Washer Spring 5/8,LOCAL,12.0,PCS,4.0,48.0,KES
,PMFWASHER1/4F,Washers 1/4 Spring,LOCAL,6.0,PCS,4.2,25.200000000000003,KES
,PMFWASHER3/8S,Washers 3/8 Spring,LOCAL,20.0,PCS,3.0,60.0,KES
,PMWCIMP,White Coat,LOCAL,13.0,KG,6.2,80.60000000000002,USD
,PMWCIMP,White Coat,LOCAL,13.0,KG,6.2,80.60000000000002,USD
,PMWCIMP,White Coat,LOCAL,13.0,KG,6.2,80.60000000000002,USD
,PMWCIMP,White Coat,LOCAL,6.5,KG,6.2,40.3,USD
,PMWCIMP,White Coat,LOCAL,2.5,KG,6.2,15.5,USD
,PMWCIMP,White Coat,LOCAL,2.0,KG,6.2,12.4,USD
,PMWCIMP,White Coat,LOCAL,3.0,KG,6.2,18.6,USD
,PMWCIMP,White Coat,LOCAL,3.0,KG,6.2,18.6,USD
,PMSFHSPRT,White Spirit,LOCAL,2.0,LTR,232.0,464.0,KES
,PMSCREW,Wood screws m/s 1 1/2 X 10G,LOCAL,70.0,PCS,3.2,224.0,KES
,PMFZINEPPRIMER,Zinc  Primer 4Ltr Can,LOCAL,2.0,LTR,341.0,682.0,KES
 ,,,,,,,,
